umap1,umap2,pc1,pc2
-0.31588227,-0.23335752,2.5661824,-4.3514776
10.017629,6.5063844,-1.6096761,1.3659267
-0.30795163,5.7260346,2.238042,-0.22909206
0.09438407,1.5343558,4.382425,-2.3855505
11.1149845,4.076667,-2.3927875,-0.4069209
5.377196,9.924736,0.5070982,2.158965
6.231309,8.947622,1.4814494,4.697077
2.5736976,7.570131,0.9582124,1.5037198
-0.7033423,-0.02808756,2.7122853,-3.803256
5.903165,2.631894,1.5563264,-1.3874655
3.597125,10.10778,1.2576351,2.263572
3.7668777,9.54202,0.5004492,1.1229706
4.6910357,2.970996,0.16309336,-0.36273557
-1.8433801,2.993034,3.2069802,-2.5060658
-0.5816268,-0.50644374,2.7074041,-4.4424014
8.06157,8.576738,-0.40038592,2.889636
1.012825,7.198133,1.5755041,-0.50548774
-1.10203,1.6648985,3.3293602,-1.9704243
-0.51043224,0.21603224,2.1644156,-3.9466958
-0.61786145,4.9432244,2.380325,-0.83413565
0.10213749,5.600721,2.5528684,1.2895575
0.18776947,3.3896508,1.9464464,-4.675064
1.3167737,7.747328,1.6457374,0.22172713
1.6398778,7.9645414,0.7848611,0.52416086
2.380146,8.567561,0.8492559,-1.1920401
-0.24203421,-0.15022531,1.8751714,-2.9940996
0.70226765,5.5790033,3.3300207,1.4530449
3.8673148,8.554631,1.4244721,1.7432755
4.0275044,9.477407,0.53941303,1.8099606
0.25180644,6.1788745,3.0298226,1.0564256
6.9959373,8.977247,0.7022632,3.9299188
5.06023,9.9886055,0.7350774,2.6345701
-1.2258625,1.7107139,2.8102129,-1.952521
5.3057203,8.637315,1.2363751,3.0536895
8.434524,6.609213,-0.6101796,3.2816334
4.851661,8.026287,0.76549923,6.4994087
-0.095151804,4.460565,3.6180484,-0.5874803
2.1997972,8.407961,0.4656583,0.75080806
2.9171054,9.672256,1.2894324,1.3061494
-1.924406,3.0113983,3.8460708,-2.2184486
2.019664,8.6136675,0.83412665,0.9282973
-0.025678368,-0.77988803,3.4343278,-5.2322702
-0.41397914,2.9851153,4.1757917,-1.1575797
-1.4399705,4.3524046,3.6333559,-0.021312356
4.8963795,3.085475,-8.247433,5.6456404
9.769154,0.21379995,-8.010562,-4.70341
3.318751,9.7404585,0.76122725,1.6273098
6.7083015,3.5619993,-0.9370256,2.1518211
10.76976,0.8585796,-6.3473506,1.5542101
9.781284,6.0815125,-1.4092331,1.4275386
10.414514,-0.008231649,-8.014643,-3.218688
9.385701,6.593852,-1.0652642,1.1021857
5.4122057,3.419261,-4.333141,-2.974348
1.0763896,7.203565,0.3160791,-0.8638871
10.736628,1.7971314,-5.297767,0.45668805
10.403147,0.43389222,-6.520549,-2.3322906
3.2331812,9.824551,0.9140004,2.4352255
2.0135036,6.748692,0.9371313,0.2730944
-0.14092956,1.9769381,4.677613,-1.9789428
10.572462,5.2912774,-1.8096323,1.6530187
8.120253,8.586385,-0.026705503,3.7259798
5.6258783,9.978594,0.40473545,3.4786925
1.0688195,5.524536,0.7440504,2.20932
1.8254747,8.367057,1.3851916,0.41900575
3.9971888,9.459573,1.19064,1.8958722
10.229793,5.7522693,-2.3321073,1.1966755
11.30316,4.2563453,-2.844705,0.5647584
9.569658,7.0275,-1.9383152,1.9546105
7.7880197,8.081359,-0.2179439,2.9212494
-0.5798815,-0.42293727,3.2069168,-3.5442996
11.085751,5.0163527,-2.412784,0.55250657
10.010045,6.967687,-1.1349056,1.6633756
5.2007422,9.16994,0.60801893,2.2835193
10.79839,1.546593,-6.668909,0.8390486
4.4685555,9.568964,0.6369122,3.1826534
4.280278,9.213403,1.3917663,2.2169094
9.654584,6.109444,-1.3744731,0.4756963
10.38651,4.9463396,-2.2669458,0.89710224
-0.9597699,3.2122202,2.985399,-0.2274738
2.7104633,9.586577,0.3598932,1.1821761
11.315013,2.9218254,-3.6783466,0.2981348
8.0822935,8.744147,-1.7891886,3.128017
10.994185,0.25750342,-7.1063957,-1.7567359
9.969329,-0.050746806,-7.5262656,-3.7251844
10.432873,5.882287,-2.2674813,1.547418
3.5757818,9.61152,0.49629563,1.7836212
8.387798,8.656924,-0.024989843,2.867826
4.331901,9.640968,1.0463667,2.6314769
10.778458,1.8487695,-4.881098,0.26431298
0.97029775,7.0671926,1.5254178,1.1823468
2.1080964,8.794662,0.8434125,-0.06572515
1.5589306,7.0232315,1.086037,-0.20341152
5.4903975,10.543773,0.5447138,2.8768387
6.449817,9.102055,0.39447114,4.7274246
-0.55487394,-0.4601578,3.7564409,-1.9786204
4.9256034,2.2686949,-2.4129322,-5.082359
10.284716,5.784846,-1.7684054,1.0900872
6.9572234,8.661114,0.24667925,4.828178
3.1920037,8.204217,1.790081,1.0211811
10.375834,1.9975117,-5.008262,-0.7660699
10.0129175,7.3192496,-0.99534994,2.0754402
-0.30038387,5.809633,2.1429143,-0.37956256
10.467772,1.3563067,-5.626981,-1.1984223
0.87186867,7.9493484,0.43654886,-0.11159623
5.4743752,2.820935,-4.736382,0.62965435
11.14541,1.7054107,-4.065205,-1.0924594
2.7483227,9.590573,0.2863032,1.0586653
9.800877,7.867698,-0.78703934,2.4137049
10.419383,0.64411694,-7.693792,-1.9549311
6.1343336,2.4609737,-1.9005725,-0.4663155
6.5816784,3.5078533,2.2425482,1.0081716
4.936716,2.2528896,0.8848189,-11.415075
4.9916162,9.4446,1.120991,2.8732753
4.0696473,9.022472,0.3966757,1.3195814
6.081128,10.214443,1.616412,3.8934736
10.506588,-0.5300895,-8.005186,-2.9775438
-0.0022986282,3.4244032,3.3391085,-1.4095109
10.327579,-0.2530493,-7.824105,-3.4387631
2.8824012,9.124666,0.69305784,1.74148
4.9073076,2.3740587,-2.3959517,-3.2706685
0.36963493,6.8057995,-0.04294908,0.3520287
-0.9236687,0.9541832,3.259933,-3.6325593
-1.1577744,2.62966,3.19124,-0.91073835
1.9703659,7.4732327,1.2856967,0.2580129
9.539666,7.5243473,-0.8348693,2.3450804
3.9088566,9.744337,0.4222747,1.4396328
4.6287494,9.617613,0.98557115,3.1706133
-0.71158594,1.1961931,3.3621118,-3.0147123
1.5137907,6.5556293,1.2142308,0.73349154
10.508732,-0.54619473,-8.033191,-3.2892647
4.5866137,8.418845,0.42031795,1.8927798
8.416882,8.383722,-0.43513268,2.740508
9.108542,6.0075994,-1.4917862,1.6108717
5.601628,9.676281,0.19545728,2.9645905
10.570594,6.253294,-1.3002901,1.0449208
-1.0552753,3.9076722,3.925795,-0.6520076
4.3264556,8.4943905,0.04328108,1.928951
10.252098,5.667931,-0.40937406,1.2348711
8.058684,4.593174,-4.3677726,0.5986976
-0.86108094,-0.82828003,3.8202937,-4.218029
6.0436916,3.4058535,-0.48618358,-2.0024395
9.776665,6.206199,-1.1640031,2.1385722
3.4197958,8.72315,0.85516,1.3799618
-1.588475,3.4087555,3.705691,-0.5985352
10.598933,0.2908161,-7.812159,-1.5494479
2.2216482,8.14791,1.0836391,0.21948752
10.112665,5.457595,-1.49897,1.4619528
0.72458774,6.9233403,1.2101802,0.57604533
-1.6184778,2.5223587,3.2710617,-1.468737
10.273065,2.2009034,-5.513095,0.44100517
10.309651,3.954452,-3.0805638,-0.22471672
10.606307,6.0554748,-1.7828047,1.1026645
10.623192,0.546643,-7.5870013,-0.9758036
0.13270706,4.1908083,3.040799,-0.7277764
0.3207121,6.879377,1.090141,1.0612104
1.5921118,7.3343964,1.2513264,-0.2957222
6.246573,9.599866,0.7416517,4.2435493
4.704856,2.5769978,-0.25110692,-14.911674
-0.31703952,1.756931,3.406489,-2.1063132
10.012065,6.1385155,-1.8414013,1.4950689
9.499875,5.866564,-1.6944377,1.2720957
1.1942703,6.235778,1.5909336,0.96501493
9.156724,7.0046935,-0.7328561,3.4508505
-1.5460634,2.8580742,3.4221537,-2.2013073
9.720828,6.5469966,-1.5490861,1.0567863
10.548403,-0.52861786,-7.7919335,-4.737794
10.936706,5.7427115,-2.2492769,0.83362895
2.5744174,8.349422,0.79569066,0.1386019
-1.179165,-0.3451944,1.9335706,-3.7076
4.880262,2.6108973,-1.4812648,-3.1186614
11.240499,2.945015,-3.9190383,0.9907179
2.3057303,8.628247,0.8767073,1.340481
10.491816,-0.7046224,-10.386982,-3.295792
4.6664047,9.511645,1.970746,2.7161355
9.441996,6.0504136,-1.2032056,2.0355072
1.1602666,7.3035603,2.1118124,0.39463264
4.8904605,2.482247,-1.6146989,-2.9401374
0.69387734,6.7194304,2.554165,0.27632985
-0.56023735,2.0494108,4.95354,-2.8371215
9.4170885,6.328694,-1.6711795,2.1267977
5.985954,3.203325,-5.026299,-0.69362235
10.670662,1.8022915,-4.854991,-1.239971
10.036221,1.9461055,-4.340381,-1.2491802
-1.2164162,-0.67375743,3.8384616,-5.18642
0.9807534,5.9063253,1.2849683,0.6200891
0.8586798,6.87857,2.1718473,1.1771309
10.932105,3.7002585,-2.4077258,-0.84090436
10.644315,1.624709,-4.5214014,-0.6368861
1.861809,7.9618964,1.1896265,0.18486583
-0.20933862,0.5615036,3.6090076,-3.2587166
8.635331,7.3203883,3.1381643,6.274343
9.184178,7.613234,-0.4280036,3.0426545
2.5514991,8.76491,0.4018156,-0.020816833
2.7104328,9.122954,1.2555623,0.69268143
10.5905285,3.4235063,-3.520059,-0.16065592
10.280805,-0.33142442,-7.8166375,-2.5949502
6.1117253,10.326659,1.0080233,1.872134
10.668592,6.758821,-1.7493639,2.4532185
9.021012,5.134071,-4.8201923,3.6119518
1.9451567,7.383229,0.71068716,-0.2529502
6.822809,9.244364,0.11834514,3.3638387
5.1659064,9.7525835,0.5264143,2.620551
5.5402946,9.757949,1.1339256,4.8838735
6.6695213,8.58737,0.24142027,3.8393106
8.746562,6.6629086,-2.3552792,6.2306957
10.28394,5.355901,-1.3125958,1.0018103
2.9969075,9.313509,0.91624534,1.1918614
1.3754176,7.5147276,1.4424388,0.5838842
-0.45971423,1.7413158,4.2164392,-2.2810736
-1.591498,1.8539381,3.1078336,-2.6708302
3.107004,9.4657545,0.5348618,1.089329
11.059053,5.139377,-2.0966828,0.32232884
3.5658529,9.400663,0.9483353,1.4468195
-1.6633837,2.4013283,3.677538,-1.8849341
9.01259,5.850959,-2.8619504,2.5133429
10.827465,4.0759096,-1.6430042,0.12722635
-0.6009455,2.5546577,3.2834156,-1.4554667
-1.4345711,0.36383572,3.240453,-1.6615785
-0.37196055,6.1813126,2.4934647,0.29874593
-0.07585775,6.387072,1.8812435,0.0842824
4.4438534,8.826579,0.52686703,2.44369
9.663199,6.9807353,-1.88503,1.720531
10.461604,5.7562013,-2.4699516,0.6870673
10.990971,4.9017167,-3.079809,0.59518707
0.11224319,5.2474813,3.9072077,2.8978028
-0.2386988,4.539059,2.0705404,-0.64246166
11.105004,1.0657175,-5.1234045,-1.9374305
1.8495134,8.582186,0.84522533,1.3941526
-1.1489956,0.3295501,2.8263748,-3.1965847
7.7931223,8.411797,-0.32011092,6.2933517
-1.667392,2.280369,3.587659,-1.9048518
10.387355,3.2055023,-3.881723,0.29615617
0.05567162,-0.25439447,2.6291544,-3.986833
-0.22532783,-0.38760993,2.5997007,-4.351422
0.09872941,-0.13034645,2.4466798,-3.4738035
11.197367,3.3778543,-3.7993765,-0.50504667
3.9022424,8.672088,-1.1919587,0.89405966
-0.27599794,-0.7071208,2.322047,-4.1525016
-0.7183066,3.8097012,3.0613568,-0.6230794
3.591771,9.923731,0.6599302,2.72716
5.547787,1.9834505,-1.8902957,-3.4795704
11.225416,2.3963652,-3.832395,2.4511008
-1.0625639,4.205184,2.3518438,-0.13824809
4.0785613,9.351603,1.1319942,3.4516816
1.9097059,7.449847,0.7007996,0.43442586
9.209463,7.699539,-0.46057755,2.937419
0.016622154,0.16797848,2.5195723,-3.0660806
3.0876365,7.689799,0.81715584,1.0218306
5.8647738,2.2017038,-2.3526175,-8.462371
10.972739,3.2997363,-2.5979152,-1.4914407
-0.34914133,1.8468896,3.1008198,-1.990177
-0.9927494,2.6095076,3.242329,-1.371598
11.5091715,2.9631293,-3.8686318,-0.12182701
3.1187184,9.623173,1.4393288,1.4607515
-1.116868,4.7912793,3.1893227,0.3354497
2.7689629,9.104719,1.3171601,0.9484395
-1.0508302,-0.2560726,1.9525802,-3.5660195
-0.9618587,-0.030961148,2.6724887,-3.6169963
1.2043941,7.8198533,1.422183,1.238486
-0.13425694,6.92343,2.5313823,0.7850809
5.632617,1.9440252,-1.5054142,-8.189861
7.660469,8.619543,0.16230315,3.0195432
-0.21494314,0.94529617,2.357785,-3.7227912
-1.2932682,-0.598089,2.890738,-3.583901
-1.2649971,0.9630177,3.2859173,-3.3797207
-0.33869457,2.8244884,4.314588,-1.101717
-1.4635404,-0.097785756,2.574835,-3.0134363
-0.3298424,-0.51179004,2.018654,-4.3306146
5.2767615,9.904519,0.45227212,3.0584965
5.038803,2.1154544,-3.3652267,-4.0910335
-1.8088356,3.2685182,3.5992675,-0.930578
7.1322155,9.466636,-0.05384904,3.7763677
-0.42800465,2.9735787,4.872506,-0.24378401
4.9493594,9.619907,1.040125,2.4433026
-1.0465337,2.1568608,2.4931662,-1.4257408
1.3044542,7.5599995,1.3975959,1.005779
0.440834,5.996382,2.6693294,1.8207525
-0.3078322,5.7713833,3.2516928,0.7487769
-1.1418662,-0.32519206,3.0011091,-4.787454
6.170931,10.21069,1.0987515,3.9625163
-1.6664933,2.9791977,3.49918,-1.6780127
-1.4462312,1.8925098,3.6562493,-1.9167455
7.2482214,8.640956,0.7066406,3.765717
-1.3895248,4.725854,3.4530764,1.0386105
-1.2978622,4.015727,3.3574216,-0.8879155
8.33767,8.041486,-1.5916262,2.7807455
5.134312,2.592893,-0.78864473,-1.8242298
-0.87327856,-0.59021175,2.8156023,-4.279033
1.9435064,6.85481,0.9608731,1.089551
-0.960423,2.4180071,4.2860985,-2.5397763
1.0737882,7.0553923,2.3225076,0.74277866
0.9346812,7.11323,1.7243314,1.0983517
-1.2430981,4.630837,3.312357,0.5215529
4.922075,2.2672007,-5.01707,-7.996264
5.2601595,8.825454,-0.16279078,4.0764604
10.502771,6.784819,-1.3638415,2.3914442
10.959223,3.9311013,-3.0336585,-0.6144242
5.8932395,3.4629316,-3.4715314,2.1631603
10.794871,4.0099444,-2.763037,-0.047688484
5.178349,2.3413553,-0.7668312,-1.5187036
10.557439,4.5220327,-2.6222997,0.6926594
10.42378,6.9896297,-1.485642,2.0507784
10.337936,-0.15172938,-8.898114,-2.3711557
10.287956,1.830584,-6.272068,-0.68720114
11.447923,2.6140978,-4.3517966,0.1926933
10.44661,5.4231234,-3.200891,0.15659305
11.043788,0.2548221,-6.0993347,-1.6974627
10.31632,7.0408077,-1.0208275,1.9022281
0.5225522,5.762798,1.7327585,0.6636278
2.7225688,9.471557,1.116762,0.9678277
10.945907,4.1795506,-2.7335317,0.111281276
11.121895,4.4462934,-2.961831,0.47618675
10.565858,-0.15491359,-8.344602,-0.24335933
10.282607,5.7926984,-1.7347386,1.7240736
10.18087,5.723566,-1.5995159,1.151602
10.186643,2.9564712,-5.398348,-0.30002344
10.884228,3.662569,-2.443105,-0.48567116
1.5008403,6.464197,1.6117643,0.79823875
3.642748,9.760746,1.5348163,1.9021053
7.756315,8.821212,0.42108685,2.659636
6.8343306,8.964771,-0.19752914,3.7633014
10.136655,5.320248,-2.2459,1.1986684
11.0813265,4.1353164,-3.792285,0.7147107
10.875433,-0.28355533,-7.8630166,-1.6594802
10.025673,2.933794,-4.937569,2.249842
0.5276665,5.8920283,2.3109238,0.3597781
0.50696754,6.3790216,0.53335434,0.12944046
5.8771887,2.9242823,-1.1754837,-5.4893107
10.137107,-0.16318624,-8.925502,-4.2383976
10.882763,3.171547,-3.8372488,0.09588385
-0.9452681,4.732167,3.0271487,0.17105547
11.361713,1.9369253,-4.8308177,-1.0559163
10.007031,-0.18924285,-9.583414,-3.7993717
5.7722006,8.967988,0.67279935,3.3578792
11.163946,2.3297758,-5.2233105,0.2770301
10.836355,-0.18922503,-7.7281775,-2.104951
5.4046206,9.976603,0.6534757,3.5932083
11.024231,2.2281384,-5.1075425,1.3748381
10.906432,0.65364236,-6.8072486,-1.4684001
5.6736345,2.1097066,-9.170913,-7.716779
10.983978,0.22740948,-6.2804537,-1.9279431
10.611702,6.66024,-1.5508246,2.1771765
2.979448,8.789906,0.79858446,1.6930542
10.7863655,1.8650255,-5.384471,-0.23906189
9.912522,-0.26684135,-6.894994,-4.637785
4.990181,3.1477766,-14.065016,-1.2841386
10.920414,3.257065,-3.306915,0.08240387
10.696339,1.701192,-5.844398,-0.28096247
10.761148,2.4529994,-4.9912415,0.8295343
2.0223935,8.318844,1.0080997,1.179484
10.905438,0.5979384,-6.1970406,-1.9104201
10.722639,-0.33334428,-7.064769,-2.4633527
10.519311,0.16209373,-7.8470864,-1.0619546
6.4502687,10.013325,0.47009212,2.9803314
