kmeans
2
12
12
11
14
11
13
14
14
13
18
12
14
12
13
12
14
13
12
11
12
14
14
13
17
14
14
12
11
11
16
13
16
11
11
12
12
7
14
13
12
16
16
4
9
15
19
18
18
17
15
14
19
16
18
18
19
18
18
16
18
19
19
0
15
18
19
17
12
9
18
15
15
18
19
15
16
19
19
9
12
17
14
18
9
18
19
5
14
4
9
19
19
18
4
2
12
18
5
17
9
13
12
19
13
18
13
19
9
17
9
19
11
13
18
19
1
17
12
14
17
14
10
13
19
19
12
11
18
13
13
19
17
17
12
17
13
17
17
18
19
15
19
16
4
14
13
9
5
3
5
18
17
12
12
11
11
18
16
13
19
13
16
12
15
12
18
10
17
9
16
9
19
11
15
12
10
19
19
19
18
17
18
18
18
16
14
14
13
14
17
17
12
11
18
12
11
16
18
13
12
11
13
15
17
12
11
17
17
15
14
17
19
16
19
12
19
17
19
16
17
14
19
12
6
13
16
1
13
11
18
12
13
19
17
15
16
11
1
17
16
2
13
11
15
12
13
11
14
12
14
12
12
16
11
12
16
16
12
15
17
13
17
18
5
14
12
16
13
16
11
14
13
2
9
16
18
9
18
9
18
4
12
19
9
16
12
14
18
15
17
12
16
17
18
18
18
15
11
19
18
15
19
17
17
18
18
14
16
19
15
9
9
18
16
15
17
19
12
16
12
17
15
11
5
18
15
16
19
18
12
19
12
8
19
16
18
9
7
0
5
17
17
17
9
14
9
16
5
12
13
13
12
18
16
17
13
12
9
17
15
18
15
18
14
16
18
10
11
0
18
17
14
9
12
18
12
13
19
19
18
9
14
12
12
15
2
13
18
18
12
18
13
18
9
18
16
11
2
19
16
9
17
18
12
5
12
13
18
1
19
19
11
12
12
19
19
12
11
15
18
16
16
19
9
15
18
19
12
15
17
17
15
18
18
16
12
13
13
16
18
16
13
18
18
13
11
12
12
17
18
18
19
14
14
9
16
11
15
13
19
11
11
11
19
16
11
14
17
11
19
14
16
12
18
11
16
3
19
14
13
19
16
14
16
11
11
12
12
3
15
11
11
13
13
11
11
17
6
13
15
14
17
13
12
12
12
11
15
13
13
15
14
14
18
8
11
12
13
12
12
14
2
17
18
19
18
19
2
19
18
9
19
19
18
9
18
12
16
19
19
9
18
18
19
19
12
17
15
15
18
19
9
19
12
12
7
9
19
14
19
9
17
19
9
17
19
9
6
9
18
16
19
9
2
19
19
19
16
9
9
9
15
9
19
9
19
0
19
14
15
17
9
14
12
12
13
16
16
17
18
14
17
18
9
16
18
16
18
15
11
16
9
11
17
17
18
17
18
9
18
11
14
19
12
4
19
18
13
17
18
12
19
16
18
18
12
16
15
15
13
14
10
19
9
18
13
2
19
15
13
3
13
16
12
9
19
13
18
11
15
11
15
1
12
12
11
18
14
9
13
12
11
17
18
13
19
17
13
18
12
12
19
17
16
13
19
15
0
14
19
16
9
12
17
16
14
11
13
11
15
16
18
16
13
11
13
11
18
18
19
14
13
17
14
11
17
16
12
16
11
14
11
17
14
11
11
12
14
16
15
13
16
11
13
17
13
13
12
16
13
14
4
14
2
0
9
19
9
9
18
9
9
12
18
19
19
19
12
9
12
17
19
17
19
18
12
19
9
12
19
16
9
18
18
16
15
9
8
12
18
19
18
18
12
17
19
18
12
9
15
15
16
15
19
9
9
10
17
11
18
19
19
18
19
16
17
18
11
11
12
6
18
14
17
16
11
14
18
17
18
13
3
16
12
13
9
15
16
17
17
12
19
15
13
15
14
18
16
12
17
16
19
12
15
9
19
15
18
14
18
9
13
9
9
7
12
6
19
16
12
18
11
19
17
19
14
17
14
5
17
12
12
12
15
18
5
4
17
13
16
12
11
11
0
13
16
14
14
9
18
13
17
12
14
12
18
12
14
11
16
12
18
11
1
16
19
11
19
15
13
15
5
12
16
17
18
16
14
12
14
14
7
19
13
14
12
9
17
11
13
12
2
14
14
11
19
19
11
11
12
16
12
17
14
14
11
14
12
13
12
11
11
12
11
12
16
11
12
14
19
11
14
14
17
13
15
13
19
15
13
13
14
12
16
3
14
2
18
18
16
11
19
18
15
12
11
9
9
17
9
16
3
9
2
19
9
16
16
19
19
9
17
18
18
19
14
18
18
9
9
2
9
19
15
13
12
18
5
17
2
19
12
19
18
1
14
19
9
19
19
14
13
18
16
13
14
11
