lat1,lat2,lat3,lat4,lat5,lat6,lat7,lat8,emb-x,emb-y,pc1,pc2,epoch,loss,c1,c2,c3,c4,c5,c6,c7,c8
2.0370402,-3.0735762,-9.361009,4.253656,-4.1073017,-8.437975,-8.515336,5.335245,4.903943,3.0900378,-1.6958091,-1.0802546,0.0,0.614763,1.4197440225942586,-2.4234881374412356,-1.838960062469713,-1.817790573521238,-5.836105453401693,-0.22788854503491685,-0.8776616417739085,-8.90474816685195
0.9995486,0.43414938,-0.21590109,-1.6647475,-0.40432277,-0.71613264,-0.9610223,1.3921142,0.655844,5.760749,2.3465102,0.5109902,1.0,0.601933,-4.385687568238252,-5.8220000002485435,3.8768238025305877,-5.76466906721072,-0.261890558928485,6.204076957292479,3.2947470379746604,2.7419850476883063
1.8102316,-1.4329716,-0.19488356,-1.9676747,-0.3124276,0.4203343,-1.923001,2.1886177,0.044225328,5.736201,2.9225435,0.67147434,2.0,0.599481,-2.2694831366226706,-2.903822728650199,-1.195639389537205,-3.7729223466967525,-4.971970685818091,-1.1618095050560733,7.009523988564205,3.2207733072846896
-1.3651568,-1.6790537,1.3932363,-4.567147,2.2597113,-3.0200098,0.38943934,-3.3311691,0.08409695,-0.60562146,2.6103373,-4.9843373,3.0,0.597119,0.1746579798004509,-7.004565500138596,2.127324222212917,1.2318018585540567,1.1468369947781434,-0.9145445043219071,8.90595946023152,-0.8968447820234369
2.6432776,-1.4967517,0.4028988,-1.5418849,-1.0533707,-1.003937,-1.0671273,-0.69242287,-0.7164349,2.9653335,3.7156067,-1.0576766,4.0,0.595125,-1.6903061122118825,-1.0514557265844573,-5.937883680882875,-7.994860682322823,4.754292262022859,-0.6030449228773986,-0.05397854127222712,4.860631928750808
1.0426288,-0.5239885,1.3123631,-3.565109,1.152379,-1.6796726,1.0416319,-1.6266793,0.0994468,0.10220879,3.572464,-2.6796322,5.0,0.593824,-1.4449251670991647,-2.5513034747040413,-7.433576634067528,1.068450462593506,-3.9991763165047027,5.860936872685743,-0.2195384279951038,4.127038960331252
2.555201,-1.5083392,1.1401132,-2.7791736,-0.11737728,-3.1148446,0.9064591,0.77177054,-0.91965115,2.0457845,3.66627,-3.1554012,6.0,0.592864,-2.2941924443880595,-6.8322309469722065,-3.03184504972703,0.4534332840593538,2.490770796243041,3.9455983417818494,-2.0898667362955505,4.325132707899415
2.264661,0.3692447,1.3262225,-1.213386,-0.75461113,-1.7965504,0.42860556,0.6391151,-0.67466885,3.0538194,3.0409205,-0.86446726,7.0,0.591994,-2.6111347240165412,-3.1029492694027736,-1.8536025269984129,-5.76622081415866,4.497375600909259,1.318461074968916,4.331086728626068,-2.7695227692990034
3.0714474,-0.932799,1.7863435,-1.0006772,-0.7538556,-1.2537365,-0.29161802,0.87250286,-1.1723086,3.909534,3.4779298,-1.0231767,8.0,0.591255,-1.0621437872569,-5.564193920337061,-4.509064751282871,0.6818408056866703,5.782103507292367,-1.5147271210330602,1.7261967945050074,-2.7873134149124006
2.2339623,0.06919514,1.9620833,-0.2771191,0.05083555,-0.9226238,0.8597744,-0.31956425,-1.3567456,3.1076214,2.507445,-0.87829506,9.0,0.590649,-7.2087067377070575,-1.9857384847448047,-0.326919466536582,-0.08121846214577744,-0.43554793823112803,0.5358366261042198,-0.6421858335887509,0.14563047520052796
-1.3270508,-1.0574872,0.7708848,0.55128413,-0.8920846,0.21851459,3.2980466,3.2615528,10.27408,5.4442177,-1.7058806,0.55404377,10.0,0.590026,1.1020980367985942,-0.17090344810450375,2.508563010139116,-3.0342822121519357,-2.20303118454928,-3.9502826674178673,-3.706844928841438,0.9486289593095953
1.2124641,-1.1955645,-0.7418197,-0.23946705,-1.3511944,0.5942843,-0.48229536,0.4116374,1.2973173,7.1404023,1.5882587,0.9639551,11.0,0.589529,3.0385412285259132,-3.199842739161652,-1.0838821127199059,1.3992577705881373,-0.02883069230300883,-0.2959809503394637,-0.4595300122354249,0.0766233911961538
1.4589354,-0.20665798,2.9871073,-2.4096463,-1.3396748,-1.420487,1.5951205,0.12992434,-0.04147994,3.0166497,3.4050121,-1.5096122,12.0,0.588967,2.2276789958593395,0.5837618483997611,-0.19962218135472604,-1.7168961842084305,-0.10902835331878818,-0.1765580848232337,0.18190900439828295,0.3552312995524851
2.0697863,-1.8385926,-0.3521307,-1.7610826,-0.27418196,-1.3410455,-0.39202586,1.0741302,-0.1312479,5.1572556,2.7128928,-1.2450134,13.0,0.588517,3.253450205587728,-2.1186124765002714,1.0585910247811778,0.27719381344531135,-0.2495005399873058,-0.05627664400700905,0.4254786466186906,0.7730350524257124
3.0468323,-0.57469547,2.7638695,-0.797374,-0.6289139,-1.606606,0.46912497,-1.1058342,-1.2688524,2.719798,3.7167788,-1.8856322,14.0,0.588025,3.7004291247127954,-0.46029741337699814,2.2433918845126977,-0.6292976003494313,-0.23002796784549062,-0.07912569913330891,0.007781677289287359,0.07357360843381588
0.7454366,-1.9925759,-1.1943002,-2.1517117,-0.36403218,0.9689508,-0.84283155,-0.5679294,1.3876809,7.290151,2.4051435,0.22735433,15.0,0.587588,0.2935941491034302,3.6895657310681145,-1.0855271505311803,-0.4090455742837653,0.44571539854124254,-0.2131011594256036,0.08626785791859537,1.475336730617639
1.305659,0.3213266,2.460991,-2.318721,-0.38975394,-1.6435724,-1.1710933,0.2301663,-0.3710469,2.8138058,3.5806289,-1.1409043,16.0,0.587133,1.0102932132451794,1.0217195289781158,-2.0486390893703907,0.35760165455086157,-0.2021815581061408,-0.34632234339979184,0.2525359912262255,-0.5621558153179114
2.640472,0.2789029,2.9490545,-2.307007,1.4555068,-2.2395277,-0.5126124,0.18480428,-0.8361999,1.956719,4.137738,-2.3338146,17.0,0.586673,1.163404892914573,3.2988597911884088,-2.8655432013406648,0.5873132264210921,-0.18138084432302914,0.8115964952096137,0.30304701950630775,0.021861750853174433
0.8356407,-0.17217137,-0.96524286,-0.5211389,-0.731004,-0.29146895,-0.5752755,-0.04869363,1.621142,6.8361373,1.5739801,0.558095,18.0,0.586269,-1.1398251819497485,1.789652068672153,1.762424729223487,0.3080532463602017,0.3768449813317445,-0.3961348477859705,0.1201098063286814,0.03020064499695252
1.69461,-1.2375952,-0.7446827,-2.2163534,1.6270779,-2.773845,1.4909425,-2.6724513,-0.750546,-0.6360846,2.7296057,-3.6408272,19.0,0.585841,-3.8434062961427644,0.05631778865785497,0.39389564625804585,0.6794011758336027,-0.0974383015264757,-0.19105763750898663,-0.4010442023244081,0.030540301824211857
0.7333245,-0.6173721,0.02813536,-2.2814944,-0.85263443,-0.19909479,-3.2526145,1.0570691,1.0288185,5.5252075,3.0341468,0.60915077,20.0,0.585445,,,,,,,,
1.3887616,-0.8751581,2.4723077,-2.7024698,-2.2247121,-0.9608365,0.68025714,0.33334973,0.051691096,3.4284315,3.6596775,-1.0056531,21.0,0.585015,,,,,,,,
0.37365678,-1.7520094,2.249946,-2.7537632,-2.666402,-1.0918248,-1.3052076,1.0355738,0.15297085,3.766054,3.1501634,-0.9190248,22.0,0.58459,,,,,,,,
3.398409,1.402088,0.272505,-1.2776427,1.3638114,-2.642851,-1.9679458,-2.2541835,-1.3287897,0.6970999,4.4473467,-1.6919774,23.0,0.584239,,,,,,,,
-5.4654317,7.695396,-2.4522505,-4.89769,-6.183531,-2.1878443,0.5268142,-1.6739516,1.6528116,4.132503,1.6393421,3.761466,24.0,0.583924,,,,,,,,
2.8095129,-0.2273041,2.246743,-0.875943,-0.9164674,-1.1110166,0.019874595,1.2380801,-0.85019463,3.8648815,3.2946877,-0.5662123,,,,,,,,,,
3.2053037,-0.6869671,1.436832,0.0015164465,-1.1553601,-0.21099472,-1.4507126,2.07958,-0.7180867,5.42818,3.0287755,0.63488626,,,,,,,,,,
0.51746434,-1.1450303,1.274652,-0.34881073,-1.7559661,0.37267712,0.049329363,0.36582908,1.7439307,6.817712,1.4664788,0.4084469,,,,,,,,,,
0.53607506,-1.5118679,0.4066313,-4.7028947,3.218025,-3.50482,1.3046572,0.010872517,0.040509067,-0.2139671,2.9168537,-4.709638,,,,,,,,,,
0.025090875,0.25272387,1.938318,-3.6573968,0.86217606,-2.8665442,1.0117903,-2.2817602,0.332843,0.114071175,3.2477474,-3.3781548,,,,,,,,,,
0.21153754,-0.034971356,-3.2554157,-1.1950523,-0.79641294,0.98365074,-0.22202125,-0.0040576644,3.5012856,8.502173,1.2205696,1.9453366,,,,,,,,,,
3.0028832,-1.5355974,1.1940545,-1.0100291,-0.1011827,-1.0281613,0.38367328,0.61060673,-1.6598694,3.8892405,3.0946174,-1.3637531,,,,,,,,,,
